"","miRNA","Gene"
"2587","hsa-miR-31-5p","PPP2R2A"
"2588","hsa-miR-3202","PPP2R2A"
"2589","hsa-miR-3605-5p","PPP2R2A"
"2590","hsa-miR-409-3p","PPP2R2A"
"2591","hsa-miR-4458","PPP2R2A"
"2592","hsa-miR-548aa","PPP2R2A"
"2593","hsa-miR-548t-3p","PPP2R2A"
"2594","hsa-miR-92a-3p","PPP2R2A"
"2595","hsa-miR-98-5p","PPP2R2A"
"2596","hsa-miR-192-5p","PPP2R2D"
"2597","hsa-miR-1268a","PRKCA"
"2598","hsa-miR-1268b","PRKCA"
"2599","hsa-miR-193b-3p","PRKCA"
"2600","hsa-miR-1976","PRKCA"
"2601","hsa-miR-218-5p","PRKCA"
"2602","hsa-miR-24-3p","PRKCA"
"2603","hsa-miR-371b-5p","PRKCA"
"2604","hsa-miR-375","PRKCA"
"2605","hsa-miR-4284","PRKCA"
"2606","hsa-miR-505-3p","PRKCA"
"2607","hsa-miR-5196-3p","PRKCA"
"2608","hsa-miR-585-3p","PRKCA"
"2609","hsa-miR-660-3p","PRKCA"
"2610","hsa-miR-92a-3p","PRKCA"
"2611","hsa-miR-106a-5p","PRKCB"
"2612","hsa-miR-106b-5p","PRKCB"
"2613","hsa-miR-124-3p","PRKCB"
"2614","hsa-miR-1248","PRKCB"
"2615","hsa-miR-1261","PRKCB"
"2616","hsa-miR-142-5p","PRKCB"
"2617","hsa-miR-17-5p","PRKCB"
"2618","hsa-miR-20a-5p","PRKCB"
"2619","hsa-miR-20b-5p","PRKCB"
"2620","hsa-miR-300","PRKCB"
"2621","hsa-miR-3180-5p","PRKCB"
"2622","hsa-miR-3614-5p","PRKCB"
"2623","hsa-miR-381-3p","PRKCB"
"2624","hsa-miR-4455","PRKCB"
"2625","hsa-miR-519d-3p","PRKCB"
"2626","hsa-miR-520a-5p","PRKCB"
"2627","hsa-miR-525-5p","PRKCB"
"2628","hsa-miR-548ah-5p","PRKCB"
"2629","hsa-miR-574-5p","PRKCB"
"2630","hsa-miR-627-3p","PRKCB"
"2631","hsa-miR-890","PRKCB"
"2632","hsa-miR-93-5p","PRKCB"
"2633","hsa-miR-129-5p","PRKCD"
"2634","hsa-miR-1305","PRKCD"
"2635","hsa-miR-15a-5p","PRKCD"
"2636","hsa-miR-15b-5p","PRKCD"
"2637","hsa-miR-16-5p","PRKCD"
"2638","hsa-miR-181a-5p","PRKCD"
"2639","hsa-miR-181b-5p","PRKCD"
"2640","hsa-miR-181c-5p","PRKCD"
"2641","hsa-miR-181d-5p","PRKCD"
"2642","hsa-miR-190a-3p","PRKCD"
"2643","hsa-miR-195-5p","PRKCD"
"2644","hsa-miR-26a-5p","PRKCD"
"2645","hsa-miR-26b-5p","PRKCD"
"2646","hsa-miR-369-3p","PRKCD"
"2647","hsa-miR-374a-5p","PRKCD"
"2648","hsa-miR-374b-5p","PRKCD"
"2649","hsa-miR-410-3p","PRKCD"
"2650","hsa-miR-4448","PRKCD"
"2651","hsa-miR-484","PRKCD"
"2652","hsa-miR-615-3p","PRKCD"
"2653","hsa-miR-654-3p","PRKCD"
"2654","hsa-miR-155-5p","PRKCI"
"2655","hsa-miR-3613-3p","PRKCI"
"2656","hsa-miR-93-5p","PRKCI"
"2657","hsa-miR-155-5p","PSEN1"
"2658","hsa-miR-183-5p","PSEN1"
"2659","hsa-miR-374c-5p","PSEN1"
"2660","hsa-miR-562","PSEN1"
"2661","hsa-miR-655-3p","PSEN1"
"2662","hsa-miR-935","PSEN1"
"2663","hsa-miR-103a-3p","PTEN"
"2664","hsa-miR-105-5p","PTEN"
"2665","hsa-miR-106a-5p","PTEN"
"2666","hsa-miR-106b-5p","PTEN"
"2667","hsa-miR-107","PTEN"
"2668","hsa-miR-10a-5p","PTEN"
"2669","hsa-miR-10b-5p","PTEN"
"2670","hsa-miR-128-3p","PTEN"
"2671","hsa-miR-1287-5p","PTEN"
"2672","hsa-miR-130b-3p","PTEN"
"2673","hsa-miR-141-3p","PTEN"
"2674","hsa-miR-144-3p","PTEN"
"2675","hsa-miR-153-3p","PTEN"
"2676","hsa-miR-17-5p","PTEN"
"2677","hsa-miR-181b-5p","PTEN"
"2678","hsa-miR-182-5p","PTEN"
"2679","hsa-miR-18a-5p","PTEN"
"2680","hsa-miR-193b-3p","PTEN"
"2681","hsa-miR-19a-3p","PTEN"
"2682","hsa-miR-19b-3p","PTEN"
"2683","hsa-miR-200a-3p","PTEN"
"2684","hsa-miR-205-5p","PTEN"
"2685","hsa-miR-20a-5p","PTEN"
"2686","hsa-miR-20b-5p","PTEN"
"2687","hsa-miR-214-3p","PTEN"
"2688","hsa-miR-21-5p","PTEN"
"2689","hsa-miR-216a-5p","PTEN"
"2690","hsa-miR-216b-3p","PTEN"
"2691","hsa-miR-217","PTEN"
"2692","hsa-miR-221-3p","PTEN"
"2693","hsa-miR-222-3p","PTEN"
"2694","hsa-miR-22-3p","PTEN"
"2695","hsa-miR-23a-3p","PTEN"
"2696","hsa-miR-23b-3p","PTEN"
"2697","hsa-miR-25-3p","PTEN"
"2698","hsa-miR-26a-5p","PTEN"
"2699","hsa-miR-26b-5p","PTEN"
"2700","hsa-miR-29a-3p","PTEN"
"2701","hsa-miR-29b-3p","PTEN"
"2702","hsa-miR-29c-3p","PTEN"
"2703","hsa-miR-301a-3p","PTEN"
"2704","hsa-miR-3144-3p","PTEN"
"2705","hsa-miR-320a","PTEN"
"2706","hsa-miR-32-5p","PTEN"
"2707","hsa-miR-377-3p","PTEN"
"2708","hsa-miR-382-5p","PTEN"
"2709","hsa-miR-429","PTEN"
"2710","hsa-miR-492","PTEN"
"2711","hsa-miR-494-3p","PTEN"
"2712","hsa-miR-519a-3p","PTEN"
"2713","hsa-miR-519c-3p","PTEN"
"2714","hsa-miR-519d-3p","PTEN"
"2715","hsa-miR-520d-5p","PTEN"
"2716","hsa-miR-543","PTEN"
"2717","hsa-miR-548av-3p","PTEN"
"2718","hsa-miR-548d-3p","PTEN"
"2719","hsa-miR-548h-3p","PTEN"
"2720","hsa-miR-548z","PTEN"
"2721","hsa-miR-603","PTEN"
"2722","hsa-miR-607","PTEN"
"2723","hsa-miR-652-5p","PTEN"
"2724","hsa-miR-92a-1-5p","PTEN"
"2725","hsa-miR-92a-3p","PTEN"
"2726","hsa-miR-92b-3p","PTEN"
"2727","hsa-miR-93-5p","PTEN"
"2728","hsa-let-7c-5p","PTK2"
"2729","hsa-let-7e-5p","PTK2"
"2730","hsa-miR-138-5p","PTK2"
"2731","hsa-miR-193a-3p","PTK2"
"2732","hsa-miR-21-5p","PTK2"
"2733","hsa-miR-543","PTK2"
"2734","hsa-miR-7-5p","PTK2"
"2735","hsa-miR-124-3p","PXN"
"2736","hsa-miR-137","PXN"
"2737","hsa-miR-221-3p","PXN"
"2738","hsa-miR-335-5p","PXN"
"2739","hsa-miR-92a-3p","PXN"
"2740","hsa-let-7a-5p","RAB13"
"2741","hsa-miR-1236-3p","RAB13"
"2742","hsa-miR-1245a","RAB13"
"2743","hsa-miR-1271-3p","RAB13"
"2744","hsa-miR-129-5p","RAB13"
"2745","hsa-miR-150-5p","RAB13"
"2746","hsa-miR-193b-5p","RAB13"
"2747","hsa-miR-19a-3p","RAB13"
"2748","hsa-miR-371a-5p","RAB13"
"2749","hsa-miR-371b-5p","RAB13"
"2750","hsa-miR-411-5p","RAB13"
"2751","hsa-miR-485-5p","RAB13"
"2752","hsa-miR-550a-5p","RAB13"
"2753","hsa-miR-564","RAB13"
"2754","hsa-miR-573","RAB13"
"2755","hsa-miR-590-3p","RAB13"
"2756","hsa-miR-642a-5p","RAB13"
"2757","hsa-miR-660-3p","RAB13"
"2758","hsa-miR-665","RAB13"
"2759","hsa-miR-101-3p","RAC1"
"2760","hsa-miR-122-5p","RAC1"
"2761","hsa-miR-124-3p","RAC1"
"2762","hsa-miR-136-5p","RAC1"
"2763","hsa-miR-142-3p","RAC1"
"2764","hsa-miR-144-3p","RAC1"
"2765","hsa-miR-146a-5p","RAC1"
"2766","hsa-miR-155-5p","RAC1"
"2767","hsa-miR-194-5p","RAC1"
"2768","hsa-miR-2110","RAC1"
"2769","hsa-miR-300","RAC1"
"2770","hsa-miR-30c-5p","RAC1"
"2771","hsa-miR-320a","RAC1"
"2772","hsa-miR-361-5p","RAC1"
"2773","hsa-miR-365a-3p","RAC1"
"2774","hsa-miR-365b-3p","RAC1"
"2775","hsa-miR-369-3p","RAC1"
"2776","hsa-miR-374a-3p","RAC1"
"2777","hsa-miR-374a-5p","RAC1"
"2778","hsa-miR-374b-5p","RAC1"
"2779","hsa-miR-374c-5p","RAC1"
"2780","hsa-miR-381-3p","RAC1"
"2781","hsa-miR-3934-5p","RAC1"
"2782","hsa-miR-450a-2-3p","RAC1"
"2783","hsa-miR-483-3p","RAC1"
"2784","hsa-miR-570-3p","RAC1"
"2785","hsa-miR-574-3p","RAC1"
"2786","hsa-miR-576-5p","RAC1"
"2787","hsa-miR-582-5p","RAC1"
"2788","hsa-miR-624-3p","RAC1"
"2789","hsa-miR-650","RAC1"
"2790","hsa-miR-651-3p","RAC1"
"2791","hsa-miR-652-3p","RAC1"
"2792","hsa-miR-655-3p","RAC1"
"2793","hsa-miR-885-5p","RAC1"
"2794","hsa-miR-939-5p","RAC1"
"2795","hsa-miR-193b-3p","RAC2"
"2796","hsa-miR-4516","RAC3"
"2797","hsa-miR-4531","RAC3"
"2798","hsa-miR-484","RAC3"
"2799","hsa-miR-568","RAC3"
"2800","hsa-miR-125b-5p","RAF1"
"2801","hsa-miR-16-5p","RAF1"
"2802","hsa-miR-186-5p","RAF1"
"2803","hsa-miR-195-5p","RAF1"
"2804","hsa-miR-19a-3p","RAF1"
"2805","hsa-miR-19b-3p","RAF1"
"2806","hsa-miR-23b-3p","RAF1"
"2807","hsa-miR-3690","RAF1"
"2808","hsa-miR-486-3p","RAF1"
"2809","hsa-miR-497-5p","RAF1"
"2810","hsa-miR-7-5p","RAF1"
"2811","hsa-miR-122-5p","RHOA"
"2812","hsa-miR-124-3p","RHOA"
"2813","hsa-miR-125a-3p","RHOA"
"2814","hsa-miR-128-1-5p","RHOA"
"2815","hsa-miR-128-2-5p","RHOA"
"2816","hsa-miR-1304-3p","RHOA"
"2817","hsa-miR-133b","RHOA"
"2818","hsa-miR-146b-5p","RHOA"
"2819","hsa-miR-155-5p","RHOA"
"2820","hsa-miR-185-5p","RHOA"
"2821","hsa-miR-200c-3p","RHOA"
"2822","hsa-miR-218-5p","RHOA"
"2823","hsa-miR-221-3p","RHOA"
"2824","hsa-miR-2278","RHOA"
"2825","hsa-miR-31-5p","RHOA"
"2826","hsa-miR-320c","RHOA"
"2827","hsa-miR-331-5p","RHOA"
"2828","hsa-miR-340-5p","RHOA"
"2829","hsa-miR-3613-3p","RHOA"
"2830","hsa-miR-375","RHOA"
"2831","hsa-miR-3934-5p","RHOA"
"2832","hsa-miR-4741","RHOA"
"2833","hsa-miR-483-3p","RHOA"
"2834","hsa-miR-504-3p","RHOA"
"2835","hsa-miR-548d-3p","RHOA"
"2836","hsa-miR-548h-3p","RHOA"
"2837","hsa-miR-548z","RHOA"
"2838","hsa-miR-577","RHOA"
"2839","hsa-miR-592","RHOA"
"2840","hsa-miR-597-5p","RHOA"
"2841","hsa-miR-607","RHOA"
"2842","hsa-miR-764","RHOA"
"2843","hsa-miR-124-3p","ROCK1"
"2844","hsa-miR-135a-5p","ROCK1"
"2845","hsa-miR-145-5p","ROCK1"
"2846","hsa-miR-146a-5p","ROCK1"
"2847","hsa-miR-148a-3p","ROCK1"
"2848","hsa-miR-148b-3p","ROCK1"
"2849","hsa-miR-335-5p","ROCK1"
"2850","hsa-miR-340-5p","ROCK1"
"2851","hsa-miR-584-5p","ROCK1"
"2852","hsa-miR-124-3p","ROCK2"
"2853","hsa-miR-138-5p","ROCK2"
"2854","hsa-miR-139-5p","ROCK2"
"2855","hsa-miR-142-3p","ROCK2"
"2856","hsa-miR-190a-3p","ROCK2"
"2857","hsa-miR-200b-3p","ROCK2"
"2858","hsa-miR-200c-3p","ROCK2"
"2859","hsa-miR-30a-5p","ROCK2"
"2860","hsa-miR-30b-5p","ROCK2"
"2861","hsa-miR-30c-5p","ROCK2"
"2862","hsa-miR-30d-5p","ROCK2"
"2863","hsa-miR-30e-5p","ROCK2"
"2864","hsa-miR-380-3p","ROCK2"
"2865","hsa-miR-411-3p","ROCK2"
"2866","hsa-miR-4455","ROCK2"
"2867","hsa-miR-515-5p","ROCK2"
"2868","hsa-miR-574-5p","ROCK2"
"2869","hsa-miR-124-3p","RRAS"
"2870","hsa-miR-34a-5p","RRAS"
"2871","hsa-miR-106a-5p","RRAS2"
"2872","hsa-miR-106b-5p","RRAS2"
"2873","hsa-miR-124-3p","RRAS2"
"2874","hsa-miR-1252-5p","RRAS2"
"2875","hsa-miR-142-5p","RRAS2"
"2876","hsa-miR-17-5p","RRAS2"
"2877","hsa-miR-19a-3p","RRAS2"
"2878","hsa-miR-19b-3p","RRAS2"
"2879","hsa-miR-20a-5p","RRAS2"
"2880","hsa-miR-20b-5p","RRAS2"
"2881","hsa-miR-223-3p","RRAS2"
"2882","hsa-miR-23b-3p","RRAS2"
"2883","hsa-miR-26b-5p","RRAS2"
"2884","hsa-miR-3161","RRAS2"
"2885","hsa-miR-519d-3p","RRAS2"
"2886","hsa-miR-548ah-5p","RRAS2"
"2887","hsa-miR-548n","RRAS2"
"2888","hsa-miR-549a","RRAS2"
"2889","hsa-miR-580-3p","RRAS2"
"2890","hsa-miR-599","RRAS2"
"2891","hsa-miR-624-3p","RRAS2"
"2892","hsa-miR-651-3p","RRAS2"
"2893","hsa-miR-7-5p","RRAS2"
"2894","hsa-miR-935","RRAS2"
"2895","hsa-miR-93-5p","RRAS2"
"2896","hsa-miR-944","RRAS2"
"2897","hsa-let-7g-5p","SMAD2"
"2898","hsa-miR-1228-3p","SMAD2"
"2899","hsa-miR-146a-5p","SMAD2"
"2900","hsa-miR-148a-3p","SMAD2"
"2901","hsa-miR-155-5p","SMAD2"
"2902","hsa-miR-181a-5p","SMAD2"
"2903","hsa-miR-188-5p","SMAD2"
"2904","hsa-miR-18a-5p","SMAD2"
"2905","hsa-miR-18b-5p","SMAD2"
"2906","hsa-miR-196a-3p","SMAD2"
"2907","hsa-miR-200a-3p","SMAD2"
"2908","hsa-miR-200b-3p","SMAD2"
"2909","hsa-miR-27a-3p","SMAD2"
"2910","hsa-miR-27b-3p","SMAD2"
"2911","hsa-miR-324-5p","SMAD2"
"2912","hsa-miR-329-3p","SMAD2"
"2913","hsa-miR-3613-3p","SMAD2"
"2914","hsa-miR-361-5p","SMAD2"
"2915","hsa-miR-362-3p","SMAD2"
"2916","hsa-miR-371a-5p","SMAD2"
"2917","hsa-miR-374a-3p","SMAD2"
"2918","hsa-miR-484","SMAD2"
"2919","hsa-miR-495-5p","SMAD2"
"2920","hsa-miR-503-5p","SMAD2"
"2921","hsa-miR-505-3p","SMAD2"
"2922","hsa-miR-548av-3p","SMAD2"
"2923","hsa-miR-548g-3p","SMAD2"
"2924","hsa-miR-624-3p","SMAD2"
"2925","hsa-miR-642a-5p","SMAD2"
"2926","hsa-miR-652-3p","SMAD2"
"2927","hsa-miR-143-3p","SMAD3"
"2928","hsa-miR-145-5p","SMAD3"
"2929","hsa-miR-155-5p","SMAD3"
"2930","hsa-miR-15a-5p","SMAD3"
"2931","hsa-miR-15b-5p","SMAD3"
"2932","hsa-miR-16-5p","SMAD3"
"2933","hsa-miR-17-5p","SMAD3"
"2934","hsa-miR-18a-5p","SMAD3"
"2935","hsa-miR-193b-3p","SMAD3"
"2936","hsa-miR-195-5p","SMAD3"
"2937","hsa-miR-200a-3p","SMAD3"
"2938","hsa-miR-335-5p","SMAD3"
"2939","hsa-miR-491-5p","SMAD3"
"2940","hsa-miR-92b-3p","SMAD3"
"2941","hsa-miR-106a-5p","SMAD4"
"2942","hsa-miR-106b-5p","SMAD4"
"2943","hsa-miR-125a-5p","SMAD4"
"2944","hsa-miR-125b-5p","SMAD4"
"2945","hsa-miR-1260b","SMAD4"
"2946","hsa-miR-130a-3p","SMAD4"
"2947","hsa-miR-130b-3p","SMAD4"
"2948","hsa-miR-145-5p","SMAD4"
"2949","hsa-miR-146a-5p","SMAD4"
"2950","hsa-miR-154-5p","SMAD4"
"2951","hsa-miR-155-5p","SMAD4"
"2952","hsa-miR-17-5p","SMAD4"
"2953","hsa-miR-182-5p","SMAD4"
"2954","hsa-miR-183-5p","SMAD4"
"2955","hsa-miR-186-5p","SMAD4"
"2956","hsa-miR-18a-5p","SMAD4"
"2957","hsa-miR-199a-5p","SMAD4"
"2958","hsa-miR-19a-3p","SMAD4"
"2959","hsa-miR-19b-3p","SMAD4"
"2960","hsa-miR-204-5p","SMAD4"
"2961","hsa-miR-205-5p","SMAD4"
"2962","hsa-miR-20a-5p","SMAD4"
"2963","hsa-miR-20b-5p","SMAD4"
"2964","hsa-miR-224-5p","SMAD4"
"2965","hsa-miR-26a-5p","SMAD4"
"2966","hsa-miR-27a-3p","SMAD4"
"2967","hsa-miR-27b-3p","SMAD4"
"2968","hsa-miR-301a-3p","SMAD4"
"2969","hsa-miR-302a-5p","SMAD4"
"2970","hsa-miR-34a-5p","SMAD4"
"2971","hsa-miR-34c-5p","SMAD4"
"2972","hsa-miR-371b-5p","SMAD4"
"2973","hsa-miR-421","SMAD4"
"2974","hsa-miR-449a","SMAD4"
"2975","hsa-miR-449b-5p","SMAD4"
"2976","hsa-miR-454-3p","SMAD4"
"2977","hsa-miR-483-3p","SMAD4"
"2978","hsa-miR-513a-5p","SMAD4"
"2979","hsa-miR-519a-3p","SMAD4"
"2980","hsa-miR-519b-3p","SMAD4"
"2981","hsa-miR-519c-3p","SMAD4"
"2982","hsa-miR-519d-3p","SMAD4"
"2983","hsa-miR-616-3p","SMAD4"
"2984","hsa-miR-888-5p","SMAD4"
"2985","hsa-miR-92a-3p","SMAD4"
"2986","hsa-miR-93-5p","SMAD4"
"2987","hsa-miR-1178-3p","SOS1"
"2988","hsa-miR-124-3p","SOS1"
"2989","hsa-miR-128-3p","SOS1"
"2990","hsa-miR-23b-3p","SOS1"
"2991","hsa-miR-27a-3p","SOS1"
"2992","hsa-miR-27b-3p","SOS1"
"2993","hsa-miR-3613-3p","SOS1"
"2994","hsa-miR-433-5p","SOS1"
"2995","hsa-miR-124-3p","SOS2"
"2996","hsa-miR-148a-3p","SOS2"
"2997","hsa-miR-148b-3p","SOS2"
"2998","hsa-miR-152-3p","SOS2"
"2999","hsa-miR-188-5p","SOS2"
"3000","hsa-miR-204-5p","SOS2"
"3001","hsa-miR-211-5p","SOS2"
"3002","hsa-miR-30a-3p","SOS2"
"3003","hsa-miR-30e-3p","SOS2"
"3004","hsa-miR-335-5p","SOS2"
"3005","hsa-miR-513b-5p","SOS2"
"3006","hsa-miR-548e-5p","SOS2"
"3007","hsa-miR-124-3p","SPRY2"
"3008","hsa-miR-148a-3p","SPRY2"
"3009","hsa-miR-181a-5p","SPRY2"
"3010","hsa-miR-21-5p","SPRY2"
"3011","hsa-miR-23a-3p","SPRY2"
"3012","hsa-miR-26b-5p","SPRY2"
"3013","hsa-miR-27a-3p","SPRY2"
"3014","hsa-miR-331-3p","SPTAN1"
"3015","hsa-miR-34a-5p","SPTAN1"
"3016","hsa-miR-205-5p","SRC"
"3017","hsa-miR-23b-3p","SRC"
"3018","hsa-miR-31-5p","SRC"
"3019","hsa-miR-33a-5p","SRC"
"3020","hsa-miR-33b-5p","SRC"
"3021","hsa-miR-34a-5p","SRC"
"3022","hsa-miR-10a-5p","SYMPK"
"3023","hsa-miR-193b-3p","SYMPK"
"3024","hsa-miR-744-5p","SYMPK"
"3025","hsa-miR-760","SYMPK"
"3026","hsa-miR-92b-3p","SYMPK"
"3027","hsa-miR-940","SYMPK"
"3028","hsa-miR-192-5p","TCF7"
"3029","hsa-miR-215-5p","TCF7"
"3030","hsa-miR-141-3p","TCF7L1"
"3031","hsa-miR-200a-3p","TCF7L1"
"3032","hsa-miR-200b-3p","TCF7L1"
"3033","hsa-miR-200c-3p","TCF7L1"
"3034","hsa-miR-429","TCF7L1"
"3035","hsa-miR-106a-5p","TCF7L2"
"3036","hsa-miR-106b-5p","TCF7L2"
"3037","hsa-miR-1298-5p","TCF7L2"
"3038","hsa-miR-1305","TCF7L2"
"3039","hsa-miR-130a-3p","TCF7L2"
"3040","hsa-miR-130b-3p","TCF7L2"
"3041","hsa-miR-148b-3p","TCF7L2"
"3042","hsa-miR-17-5p","TCF7L2"
"3043","hsa-miR-193a-3p","TCF7L2"
"3044","hsa-miR-193b-3p","TCF7L2"
"3045","hsa-miR-200b-3p","TCF7L2"
"3046","hsa-miR-200c-3p","TCF7L2"
"3047","hsa-miR-204-5p","TCF7L2"
"3048","hsa-miR-20a-5p","TCF7L2"
"3049","hsa-miR-20b-5p","TCF7L2"
"3050","hsa-miR-211-5p","TCF7L2"
"3051","hsa-miR-217","TCF7L2"
"3052","hsa-miR-301a-3p","TCF7L2"
"3053","hsa-miR-324-5p","TCF7L2"
"3054","hsa-miR-3606-3p","TCF7L2"
"3055","hsa-miR-3613-3p","TCF7L2"
"3056","hsa-miR-371b-5p","TCF7L2"
"3057","hsa-miR-384","TCF7L2"
"3058","hsa-miR-421","TCF7L2"
"3059","hsa-miR-429","TCF7L2"
"3060","hsa-miR-4435","TCF7L2"
"3061","hsa-miR-454-3p","TCF7L2"
"3062","hsa-miR-4755-5p","TCF7L2"
"3063","hsa-miR-485-3p","TCF7L2"
"3064","hsa-miR-505-3p","TCF7L2"
"3065","hsa-miR-509-3-5p","TCF7L2"
"3066","hsa-miR-513a-3p","TCF7L2"
"3067","hsa-miR-513c-3p","TCF7L2"
"3068","hsa-miR-519a-3p","TCF7L2"
"3069","hsa-miR-519b-3p","TCF7L2"
"3070","hsa-miR-519c-3p","TCF7L2"
"3071","hsa-miR-519d-3p","TCF7L2"
"3072","hsa-miR-539-3p","TCF7L2"
"3073","hsa-miR-539-5p","TCF7L2"
"3074","hsa-miR-651-5p","TCF7L2"
"3075","hsa-miR-891b","TCF7L2"
"3076","hsa-miR-892b","TCF7L2"
"3077","hsa-miR-93-5p","TCF7L2"
"3078","hsa-miR-122-5p","TGFB1"
"3079","hsa-miR-130a-3p","TGFB1"
"3080","hsa-miR-144-3p","TGFB1"
"3081","hsa-miR-17-5p","TGFB1"
"3082","hsa-miR-19b-3p","TGFB1"
"3083","hsa-miR-211-5p","TGFB1"
"3084","hsa-miR-21-5p","TGFB1"
"3085","hsa-miR-24-3p","TGFB1"
"3086","hsa-miR-29b-3p","TGFB1"
"3087","hsa-miR-324-3p","TGFB1"
"3088","hsa-miR-663a","TGFB1"
"3089","hsa-miR-744-5p","TGFB1"
"3090","hsa-miR-93-5p","TGFB1"
"3091","hsa-miR-137","TGFB2"
"3092","hsa-miR-141-3p","TGFB2"
"3093","hsa-miR-21-5p","TGFB2"
"3094","hsa-miR-29b-3p","TGFB2"
"3095","hsa-miR-335-5p","TGFB2"
"3096","hsa-miR-3690","TGFB2"
"3097","hsa-miR-375","TGFB2"
"3098","hsa-miR-378b","TGFB2"
"3099","hsa-miR-378c","TGFB2"
"3100","hsa-miR-378d","TGFB2"
"3101","hsa-miR-378e","TGFB2"
"3102","hsa-miR-378f","TGFB2"
"3103","hsa-miR-378h","TGFB2"
"3104","hsa-miR-378i","TGFB2"
"3105","hsa-miR-422a","TGFB2"
"3106","hsa-miR-510-3p","TGFB2"
"3107","hsa-miR-619-3p","TGFB2"
"3108","hsa-miR-631","TGFB2"
"3109","hsa-let-7b-5p","TJP1"
"3110","hsa-miR-103a-3p","TJP1"
"3111","hsa-miR-105-5p","TJP1"
"3112","hsa-miR-107","TJP1"
"3113","hsa-miR-155-5p","TJP1"
"3114","hsa-miR-17-5p","TJP1"
"3115","hsa-miR-194-5p","TJP1"
"3116","hsa-miR-212-3p","TJP1"
"3117","hsa-miR-324-3p","TJP1"
"3118","hsa-miR-411-3p","TJP1"
"3119","hsa-miR-548ah-3p","TJP1"
"3120","hsa-miR-548d-3p","TJP1"
"3121","hsa-miR-548h-3p","TJP1"
"3122","hsa-miR-548j-3p","TJP1"
"3123","hsa-miR-548z","TJP1"
"3124","hsa-miR-615-3p","TJP1"
"3125","hsa-miR-802","TJP1"
"3126","hsa-miR-124-3p","TJP2"
"3127","hsa-miR-192-5p","TJP2"
"3128","hsa-miR-193b-3p","TJP2"
"3129","hsa-miR-215-5p","TJP2"
"3130","hsa-miR-34a-5p","TJP2"
"3131","hsa-miR-184","TJP3"
"3132","hsa-miR-1915-3p","TJP3"
"3133","hsa-miR-335-5p","TJP3"
"3134","hsa-miR-4516","TJP3"
"3135","hsa-miR-106a-5p","TP53"
"3136","hsa-miR-106b-5p","TP53"
"3137","hsa-miR-10b-5p","TP53"
"3138","hsa-miR-125a-5p","TP53"
"3139","hsa-miR-125b-5p","TP53"
"3140","hsa-miR-1264","TP53"
"3141","hsa-miR-1285-3p","TP53"
"3142","hsa-miR-1296-3p","TP53"
"3143","hsa-miR-150-5p","TP53"
"3144","hsa-miR-15a-5p","TP53"
"3145","hsa-miR-16-5p","TP53"
"3146","hsa-miR-17-5p","TP53"
"3147","hsa-miR-185-5p","TP53"
"3148","hsa-miR-18a-5p","TP53"
"3149","hsa-miR-1909-3p","TP53"
"3150","hsa-miR-1972","TP53"
"3151","hsa-miR-19a-3p","TP53"
"3152","hsa-miR-19b-3p","TP53"
"3153","hsa-miR-200a-3p","TP53"
"3154","hsa-miR-20a-5p","TP53"
"3155","hsa-miR-2110","TP53"
"3156","hsa-miR-214-3p","TP53"
"3157","hsa-miR-221-3p","TP53"
"3158","hsa-miR-222-3p","TP53"
"3159","hsa-miR-223-3p","TP53"
"3160","hsa-miR-25-3p","TP53"
"3161","hsa-miR-27a-3p","TP53"
"3162","hsa-miR-3065-5p","TP53"
"3163","hsa-miR-30a-5p","TP53"
"3164","hsa-miR-30b-5p","TP53"
"3165","hsa-miR-30c-5p","TP53"
"3166","hsa-miR-30d-5p","TP53"
"3167","hsa-miR-30e-5p","TP53"
"3168","hsa-miR-324-5p","TP53"
"3169","hsa-miR-34a-5p","TP53"
"3170","hsa-miR-375","TP53"
"3171","hsa-miR-4286","TP53"
"3172","hsa-miR-4516","TP53"
"3173","hsa-miR-4531","TP53"
"3174","hsa-miR-454-3p","TP53"
"3175","hsa-miR-485-5p","TP53"
"3176","hsa-miR-491-5p","TP53"
"3177","hsa-miR-504-5p","TP53"
"3178","hsa-miR-5196-3p","TP53"
"3179","hsa-miR-605-5p","TP53"
"3180","hsa-miR-608","TP53"
"3181","hsa-miR-612","TP53"
"3182","hsa-miR-660-3p","TP53"
"3183","hsa-miR-92a-1-5p","TP53"
"3184","hsa-miR-101-3p","VAPA"
"3185","hsa-miR-1276","VAPA"
"3186","hsa-miR-30a-5p","VAPA"
"3187","hsa-miR-30b-5p","VAPA"
"3188","hsa-miR-30c-5p","VAPA"
"3189","hsa-miR-30d-5p","VAPA"
"3190","hsa-miR-30e-5p","VAPA"
"3191","hsa-miR-329-3p","VAPA"
"3192","hsa-miR-342-3p","VAPA"
"3193","hsa-miR-362-3p","VAPA"
"3194","hsa-miR-377-3p","VAPA"
"3195","hsa-miR-421","VAPA"
"3196","hsa-let-7a-5p","VAV2"
"3197","hsa-miR-148a-3p","VAV2"
"3198","hsa-miR-155-5p","VAV2"
"3199","hsa-miR-15a-5p","VAV2"
"3200","hsa-miR-15b-5p","VAV2"
"3201","hsa-miR-16-5p","VAV2"
"3202","hsa-miR-193b-3p","VAV2"
"3203","hsa-miR-195-5p","VAV2"
"3204","hsa-miR-214-3p","VAV2"
"3205","hsa-miR-218-5p","VAV2"
