,types,deg,bet,clos,eig
hsa-miR-195-5p,FALSE,24,3527.069179,0.000201126,0.429737147
hsa-miR-297,FALSE,2,11.84358086,0.000169549,0.015170828
hsa-miR-374a-3p,FALSE,3,52.46565655,0.000175562,0.030732131
hsa-miR-424-5p,FALSE,16,1676.860951,0.000196773,0.314207199
hsa-miR-4524a-5p,FALSE,9,538.6153961,0.000190259,0.20447289
hsa-miR-497-5p,FALSE,19,2741.000721,0.000200884,0.410006597
hsa-miR-503-5p,FALSE,13,1158.045953,0.000195465,0.299891009
hsa-miR-5196-3p,FALSE,3,44.62590718,0.000176491,0.038305514
hsa-miR-519d-3p,FALSE,15,1674.289213,0.000198255,0.358041083
hsa-miR-545-3p,FALSE,7,624.9562263,0.000188537,0.135133423
hsa-miR-567,FALSE,2,11.84358086,0.000169549,0.015170828
hsa-miR-595,FALSE,3,26.25999469,0.000174642,0.040983536
hsa-miR-7-5p,FALSE,23,5523.238595,0.00019685,0.259094758
hsa-miR-873-5p,FALSE,6,279.5321852,0.000181752,0.090574282
hsa-miR-106b-5p,FALSE,22,3753.590192,0.000203666,0.505434638
hsa-miR-129-5p,FALSE,7,598.2498552,0.000178955,0.041223075
hsa-miR-135a-5p,FALSE,4,64.54036405,0.000179598,0.073799684
hsa-miR-135b-5p,FALSE,2,14.40147104,0.000176741,0.042156351
hsa-miR-142-3p,FALSE,9,650.8967862,0.000186986,0.104895756
hsa-miR-148a-3p,FALSE,13,800.6515065,0.000188182,0.169081256
hsa-miR-186-5p,FALSE,13,2168.773281,0.000190621,0.183927839
hsa-miR-192-5p,FALSE,17,2720.701841,0.000191644,0.19638588
hsa-miR-210-3p,FALSE,1,0,0.000166778,0.00656091
hsa-miR-215-5p,FALSE,15,1669.604508,0.000190913,0.180022769
hsa-miR-27a-3p,FALSE,15,2091.958056,0.000194553,0.231450283
hsa-miR-663a,FALSE,8,1005.66186,0.000179791,0.0386007
hsa-miR-148b-5p,FALSE,1,0,1.38E-06,0
hsa-miR-361-3p,FALSE,1,0,1.38E-06,0
hsa-miR-103a-3p,FALSE,10,1027.794837,0.000188324,0.151722525
hsa-miR-107,FALSE,9,857.3641759,0.00018622,0.123774787
hsa-miR-1271-5p,FALSE,5,315.31318,0.000187056,0.127186106
hsa-miR-154-5p,FALSE,6,593.9459174,0.000183486,0.109153654
hsa-miR-17-5p,FALSE,28,5143.928147,0.000204082,0.552780016
hsa-miR-183-5p,FALSE,16,3067.640548,0.000197472,0.262404218
hsa-miR-190a-3p,FALSE,13,1599.886202,0.000193648,0.210163425
hsa-miR-214-3p,FALSE,10,1146.175168,0.000190913,0.160891221
hsa-miR-302f,FALSE,2,16.10242629,0.000173913,0.04128686
hsa-miR-3140-3p,FALSE,3,212.0114508,0.000179404,0.061609278
hsa-miR-3179,FALSE,2,215.347066,0.000170416,0.018581965
hsa-miR-377-3p,FALSE,7,453.0276207,0.000187547,0.124936425
hsa-miR-3934-5p,FALSE,4,167.3532318,0.000180245,0.054477423
hsa-miR-514a-3p,FALSE,2,19.83701494,0.000171057,0.019781994
hsa-miR-514b-3p,FALSE,2,19.83701494,0.000171057,0.019781994
hsa-miR-548ah-3p,FALSE,8,386.6608676,0.000184638,0.106156178
hsa-miR-548j-3p,FALSE,8,386.6608676,0.000184638,0.106156178
hsa-miR-574-5p,FALSE,11,1394.271386,0.000186289,0.119693483
hsa-miR-625-5p,FALSE,4,383.2185144,0.000182949,0.0734007
hsa-miR-627-3p,FALSE,4,143.8763002,0.000175932,0.037921433
hsa-miR-651-3p,FALSE,3,69.82722207,0.000177431,0.040392446
hsa-miR-656-3p,FALSE,2,17.17138095,0.000178444,0.061023705
hsa-miR-761,FALSE,3,31.61473254,0.00017618,0.047473441
hsa-miR-320c,FALSE,4,120.5447161,0.000178699,0.053945271
hsa-miR-335-5p,FALSE,29,7607.731146,0.000198491,0.291849664
hsa-miR-208a-3p,FALSE,2,15.5352699,0.000164312,0.00966904
hsa-miR-208b-3p,FALSE,2,15.5352699,0.000164312,0.00966904
hsa-miR-2278,FALSE,3,127.2276253,0.000176554,0.031656658
hsa-miR-34c-3p,FALSE,4,114.8998305,0.000172176,0.019083969
hsa-miR-499a-5p,FALSE,3,73.39612512,0.000171703,0.022106661
hsa-miR-641,FALSE,3,54.1661684,0.000166445,0.01101219
hsa-miR-139-3p,FALSE,2,67.86422824,0.000170068,0.010528986
hsa-miR-509-3p,FALSE,1,0,0.000146113,0.00061773
hsa-miR-522-3p,FALSE,4,601.7786147,0.000182083,0.056574902
hsa-miR-136-5p,FALSE,4,204.5931189,0.000182017,0.070454291
hsa-miR-153-3p,FALSE,4,83.06872039,0.000181488,0.087962794
hsa-miR-181a-5p,FALSE,14,1679.228583,0.000192604,0.197181412
hsa-miR-181b-5p,FALSE,11,944.4925064,0.000193125,0.223892933
hsa-miR-181c-5p,FALSE,7,299.6049912,0.000185736,0.132957596
hsa-miR-181d-5p,FALSE,7,205.6538343,0.000184298,0.124629147
hsa-miR-18a-5p,FALSE,10,591.9543816,0.000190259,0.191561522
hsa-miR-1915-3p,FALSE,5,984.4499747,0.000179662,0.075536049
hsa-miR-196b-5p,FALSE,3,65.3734505,0.000182282,0.089909886
hsa-miR-200b-3p,FALSE,14,1117.032998,0.000187617,0.143745222
hsa-miR-200c-3p,FALSE,14,1207.080662,0.000188253,0.143625042
hsa-miR-204-5p,FALSE,9,795.5744304,0.000186428,0.11286396
hsa-miR-205-5p,FALSE,8,506.5343156,0.00018498,0.112113855
hsa-miR-206,FALSE,9,986.6593092,0.000195542,0.257227542
hsa-miR-20a-5p,FALSE,21,3671.777518,0.000203417,0.502520665
hsa-miR-211-5p,FALSE,8,612.334866,0.000185185,0.088221863
hsa-miR-224-5p,FALSE,9,591.5362354,0.000188679,0.162816079
hsa-miR-34b-3p,FALSE,6,266.0250628,0.000187196,0.14940088
hsa-miR-34c-5p,FALSE,10,1120.587275,0.000191644,0.179194041
hsa-miR-375,FALSE,13,1974.455139,0.000193498,0.200595267
hsa-miR-429,FALSE,12,1067.85106,0.000190186,0.187880358
hsa-miR-448,FALSE,7,326.2986985,0.000185529,0.134559757
hsa-miR-449a,FALSE,10,1110.538176,0.000193723,0.217241943
hsa-miR-494-3p,FALSE,10,1061.495431,0.000195008,0.2478046
hsa-miR-630,FALSE,4,250.4233192,0.000184911,0.090811989
hsa-miR-3140-5p,FALSE,1,0,0.000163452,0.00856259
hsa-miR-345-3p,FALSE,3,126.261652,0.000174216,0.035346016
hsa-miR-454-3p,FALSE,10,1330.334762,0.000191571,0.21584866
hsa-miR-483-3p,FALSE,6,341.6506108,0.000183217,0.087104965
hsa-miR-767-3p,FALSE,1,0,0.000163452,0.00856259
hsa-miR-941,FALSE,2,8.282063923,0.000167056,0.015979161
hsa-miR-191-5p,FALSE,3,67.60245515,0.000177117,0.051065333
hsa-let-7d-5p,FALSE,9,756.3721299,0.000191791,0.215519592
hsa-let-7e-5p,FALSE,15,2861.110507,0.000195848,0.280281746
hsa-let-7f-5p,FALSE,9,536.4336597,0.000192086,0.237844431
hsa-let-7i-5p,FALSE,8,431.4192962,0.000191424,0.213997566
hsa-miR-106a-5p,FALSE,17,2062.760305,0.000199681,0.382165501
hsa-miR-1193,FALSE,3,91.30698003,0.000181818,0.092501945
hsa-miR-1234-3p,FALSE,2,121.1111636,0.000180245,0.057573991
hsa-miR-1253,FALSE,9,1535.519458,0.000191351,0.167284298
hsa-miR-1257,FALSE,2,28.84358575,0.000180636,0.085822625
hsa-miR-1299,FALSE,2,47.71053564,0.000178827,0.054354123
hsa-miR-138-5p,FALSE,6,291.4493681,0.00018622,0.120534598
hsa-miR-147a,FALSE,3,89.62786112,0.00018018,0.062986145
hsa-miR-152-3p,FALSE,7,414.2870501,0.000188893,0.158097859
hsa-miR-18b-5p,FALSE,2,29.78157256,0.000178891,0.057618806
hsa-miR-1910-3p,FALSE,4,129.2357914,0.000185322,0.120418987
hsa-miR-202-3p,FALSE,5,214.8753556,0.000187617,0.150118909
hsa-miR-20b-5p,FALSE,15,1494.147973,0.000197707,0.35469196
hsa-miR-216b-3p,FALSE,4,186.4866544,0.000185117,0.122966238
hsa-miR-24-3p,FALSE,11,922.626846,0.000190621,0.173839026
hsa-miR-298,FALSE,4,192.2927151,0.000184162,0.118760773
hsa-miR-323b-3p,FALSE,1,0,0.000176616,0.04834164
hsa-miR-340-5p,FALSE,14,2073.38935,0.000197316,0.277677639
hsa-miR-369-3p,FALSE,6,293.8418455,0.000184502,0.106632543
hsa-miR-374b-5p,FALSE,6,263.1634325,0.00018457,0.099493451
hsa-miR-383-5p,FALSE,2,29.67571301,0.000183419,0.097538102
hsa-miR-4458,FALSE,7,306.4486402,0.000188893,0.178402125
hsa-miR-490-3p,FALSE,3,63.63619996,0.000179598,0.076324869
hsa-miR-491-3p,FALSE,1,0,0.000176616,0.04834164
hsa-miR-5010-3p,FALSE,5,251.9639535,0.000183284,0.086104479
hsa-miR-513a-5p,FALSE,5,315.6353929,0.000186081,0.120599833
hsa-miR-516b-5p,FALSE,1,0,0.000176616,0.04834164
hsa-miR-5196-5p,FALSE,5,267.9260242,0.000183554,0.114535009
hsa-miR-520b,FALSE,9,538.6300098,0.000192827,0.282671279
hsa-miR-548ah-5p,FALSE,9,828.9806346,0.000192456,0.231090458
hsa-miR-556-5p,FALSE,1,0,0.000176616,0.04834164
hsa-miR-563,FALSE,1,0,0.000176616,0.04834164
hsa-miR-593-3p,FALSE,3,397.9203446,0.000180245,0.057487964
hsa-miR-6511a-5p,FALSE,4,129.2357914,0.000185322,0.120418987
hsa-miR-758-5p,FALSE,2,81.09002745,0.000178827,0.052098173
hsa-miR-875-3p,FALSE,2,47.71053564,0.000178827,0.054354123
hsa-miR-891b,FALSE,2,45.78710982,0.000179019,0.06580308
hsa-miR-93-5p,FALSE,21,3137.266883,0.000200803,0.422556014
hsa-miR-944,FALSE,6,412.2332443,0.000185254,0.123218322
hsa-miR-95-3p,FALSE,1,0,0.000176616,0.04834164
hsa-miR-9-5p,FALSE,6,521.2722674,0.000181818,0.089950285
hsa-miR-98-5p,FALSE,12,2184.095463,0.000197394,0.258743818
hsa-miR-1248,FALSE,6,454.3456308,0.000187266,0.134773355
hsa-miR-1252-5p,FALSE,3,56.40599244,0.000179533,0.073536698
hsa-miR-1255a,FALSE,3,84.50535147,0.000181422,0.085873058
hsa-miR-1255b-5p,FALSE,3,84.50535147,0.000181422,0.085873058
hsa-miR-1297,FALSE,4,75.70660398,0.000179276,0.085607663
hsa-miR-130a-3p,FALSE,11,1337.508041,0.000192086,0.213105683
hsa-miR-130b-3p,FALSE,13,1975.709736,0.000195313,0.266264714
hsa-miR-301a-3p,FALSE,9,999.5385632,0.000191498,0.218017074
hsa-miR-302e,FALSE,8,368.6242551,0.000190621,0.234329639
hsa-miR-372-3p,FALSE,8,368.6242551,0.000190621,0.234329639
hsa-miR-382-5p,FALSE,3,56.91309849,0.000181028,0.078162158
hsa-miR-3916,FALSE,5,227.8551623,0.000188041,0.14773064
hsa-miR-4516,FALSE,5,805.322844,0.000179791,0.06565408
hsa-miR-4521,FALSE,2,11.81035023,0.000177242,0.057775385
hsa-miR-505-3p,FALSE,8,602.7908501,0.000187406,0.137271078
hsa-miR-519a-3p,FALSE,11,758.908501,0.000192086,0.267796873
hsa-miR-519b-3p,FALSE,9,521.1392799,0.000189466,0.22852409
hsa-miR-519c-3p,FALSE,10,673.2181872,0.000191644,0.259312064
hsa-miR-520a-3p,FALSE,8,368.6242551,0.000190621,0.234329639
hsa-miR-520c-3p,FALSE,8,368.6242551,0.000190621,0.234329639
hsa-miR-520d-3p,FALSE,8,368.6242551,0.000190621,0.234329639
hsa-miR-520e,FALSE,8,368.6242551,0.000190621,0.234329639
hsa-miR-610,FALSE,1,0,0.000175131,0.042763737
hsa-miR-665,FALSE,6,392.9796358,0.000182882,0.10110392
hsa-miR-765,FALSE,3,108.4892907,0.000177054,0.053841422
hsa-miR-890,FALSE,3,81.18574408,0.000179662,0.070339216
hsa-miR-1909-3p,FALSE,3,17.24173234,0.000175254,0.045557821
hsa-miR-27b-3p,FALSE,10,657.5425844,0.000185529,0.137946818
hsa-miR-28-5p,FALSE,2,15.54215979,0.0001755,0.036333739
hsa-miR-133a-3p,FALSE,4,125.1564316,0.000181159,0.067525852
hsa-miR-330-3p,FALSE,2,14.51129327,0.00017301,0.023297556
hsa-miR-608,FALSE,3,124.7624027,0.000174216,0.027829529
hsa-miR-125a-3p,FALSE,4,335.1239471,0.000181422,0.06425004
hsa-miR-1306-3p,FALSE,1,0,0.000172236,0.018958338
hsa-miR-216b-5p,FALSE,5,462.5412063,0.000183621,0.073209411
hsa-miR-25-3p,FALSE,11,1454.344517,0.000194401,0.235282026
hsa-miR-4284,FALSE,9,687.6237934,0.000185943,0.114442445
hsa-miR-431-5p,FALSE,3,96.11282709,0.000172712,0.020754603
hsa-miR-449b-5p,FALSE,5,316.2179719,0.000185391,0.092969041
hsa-miR-504-3p,FALSE,4,228.3714758,0.000180375,0.057760032
hsa-miR-616-3p,FALSE,2,12.27847288,0.000176118,0.043772995
hsa-miR-640,FALSE,2,41.55411513,0.000178827,0.056439323
hsa-miR-764,FALSE,2,19.00921612,0.00017507,0.028115324
hsa-miR-766-3p,FALSE,8,1443.384851,0.000187336,0.09788482
hsa-miR-1301-3p,FALSE,3,108.7376674,0.000170882,0.009175329
hsa-miR-1245a,FALSE,3,115.3366262,0.000171468,0.019273874
hsa-miR-1264,FALSE,2,76.98572143,0.00017452,0.023538121
hsa-miR-219a-1-3p,FALSE,1,0,0.00016372,0.003481151
hsa-miR-325,FALSE,1,0,0.00016372,0.003481151
hsa-miR-338-5p,FALSE,3,92.94085422,0.000174095,0.03156576
hsa-miR-571,FALSE,1,0,0.00016372,0.003481151
hsa-miR-601,FALSE,1,0,0.00016372,0.003481151
hsa-miR-628-3p,FALSE,1,0,0.00016372,0.003481151
hsa-miR-660-3p,FALSE,7,731.6721939,0.000182882,0.080625751
hsa-miR-802,FALSE,2,28.1710452,0.000169664,0.011029142
hsa-miR-942-5p,FALSE,2,56.91490543,0.000172295,0.028097786
hsa-miR-1260b,FALSE,3,121.4428765,0.000180505,0.07208343
hsa-miR-1304-3p,FALSE,5,238.2569506,0.00018005,0.062436776
hsa-miR-1306-5p,FALSE,2,15.79365206,0.000174581,0.044352866
hsa-miR-132-3p,FALSE,4,217.9251401,0.000184775,0.1009292
hsa-miR-135b-3p,FALSE,1,0,0.000172712,0.037480985
hsa-miR-30a-3p,FALSE,7,630.7518708,0.000188608,0.117599486
hsa-miR-30e-3p,FALSE,6,513.044857,0.000186986,0.106956494
hsa-miR-320b,FALSE,5,255.7985194,0.000182149,0.0960623
hsa-miR-320d,FALSE,2,13.55314169,0.000172831,0.040793521
hsa-miR-370-3p,FALSE,1,0,0.000172712,0.037480985
hsa-miR-410-3p,FALSE,5,166.2893685,0.000181159,0.077357478
hsa-miR-501-3p,FALSE,1,0,0.000172712,0.037480985
hsa-miR-502-3p,FALSE,1,0,0.000172712,0.037480985
hsa-miR-509-3-5p,FALSE,2,47.23726537,0.000176866,0.054942426
hsa-miR-510-5p,FALSE,2,39.64617414,0.000177557,0.0542236
hsa-miR-512-5p,FALSE,2,39.04316703,0.000176866,0.044506073
hsa-miR-613,FALSE,2,44.49160302,0.000176118,0.044688557
hsa-miR-619-3p,FALSE,2,121.0852693,0.000174886,0.040430256
hsa-miR-664b-5p,FALSE,1,0,0.000172712,0.037480985
hsa-miR-1205,FALSE,2,43.64457615,0.000173732,0.026530401
hsa-miR-1245b-3p,FALSE,1,0,0.00016909,0.016742614
hsa-miR-1262,FALSE,1,0,0.00016909,0.016742614
hsa-miR-1827,FALSE,6,405.4730838,0.000188466,0.139429003
hsa-miR-193b-5p,FALSE,2,47.846068,0.000172176,0.020211771
hsa-miR-3065-5p,FALSE,3,105.3036529,0.000177431,0.038617579
hsa-miR-30c-1-3p,FALSE,4,225.1312756,0.000178317,0.054012663
